state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Prakasam,Santhamaguluru APMC,Maize,Hybrid,FAQ,05/09/2026,2400,2480,2450
Andhra Pradesh,Tirupathi,Railway Koduru APMC,Banana,Medium,Grade A,05/09/2026,850,1100,950
Andhra Pradesh,NTR,Nandigama APMC,Paddy(Common),B P T,Grade Range-1,05/09/2026,2360,2360,2360
Andhra Pradesh,Chittor,Chittoor APMC,Gur(Jaggery),NO 2,Local,05/09/2026,3000,3500,3500
Andhra Pradesh,Palnadu,Krosuru APMC,Cotton,Bramha,FAQ,05/09/2026,7000,8000,7500
Andhra Pradesh,Palnadu,Krosuru APMC,Paddy(Common),B P T,FAQ,05/09/2026,2200,2600,2400
Andhra Pradesh,Tirupathi,Nagalapuram APMC,Paddy(Common),Paddy Coarse,Local,05/09/2026,2312.5,2337.5,2325
Andhra Pradesh,Tirupathi,Srikalahasti APMC,Groundnut,Local,Local,05/09/2026,6500,6800,6650
Andhra Pradesh,Palnadu,Pidugurala APMC,Paddy(Common),Paddy,FAQ,05/09/2026,2390,2410,2400
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Tomato,Hybrid,FAQ,05/09/2026,1400,1800,1600
Andhra Pradesh,Kakinada,Peddapuram APMC,Paddy(Common),1001,FAQ,05/09/2026,2369,2390,2369
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Tomato,Local,FAQ,05/09/2026,1300,2000,1700
Andhra Pradesh,Palnadu,Durgi APMC,Cotton,Local,FAQ,05/09/2026,7000,7800,7300
Andhra Pradesh,Srikakulam,Etcherla APMC,Paddy(Common),1121,FAQ,05/09/2026,2369,2369,2369
Andhra Pradesh,Vijayanagaram,Chipurupalli APMC,Maize,Local,FAQ,05/09/2026,4800,4800,4800
Andhra Pradesh,Srikakulam,Hiramandalam APMC,Maize,Medium,Local,05/09/2026,2200,2200,2200
Andhra Pradesh,East Godavari,Gopalapuram APMC,Maize,Local,Local,05/09/2026,2410,2410,2410
Andhra Pradesh,Anakapally,Madugula APMC,Paddy(Common),Paddy,Local,05/09/2026,2200,2400,2300
Andhra Pradesh,Ananthapuramu,Guntakal APMC,Red gram/Arhar/Tur(whole),Local,Local,05/09/2026,7000,8200,7500
Andhra Pradesh,Srikakulam,Kothabommali APMC,Paddy(Common),Paddy,Local,05/09/2026,3800,3800,3800
Andhra Pradesh,Ananthapuramu,Gooti APMC,Red gram/Arhar/Tur(whole),Local,Grade Range-1,05/09/2026,4900,6500,5700
Andhra Pradesh,Eluru,Polavaram APMC,Maize,Local,Local,05/09/2026,2415,2415,2415
Andhra Pradesh,Krishna,Pamarru APMC,Paddy(Common),B P T,Local,05/09/2026,2441,2481,2471
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Paddy(Common),I.R. 64,Grade Range-1,05/09/2026,3200,3650,3400
Andhra Pradesh,Parvathipuram Manyam,Parvathipuram APMC,Maize,Local,Local,05/09/2026,2400,2400,2400
Andhra Pradesh,Parvathipuram Manyam,Saluru APMC,Maize,Hybrid/Local,FAQ,05/09/2026,2600,2600,2600
Andhra Pradesh,Tirupathi,Chandragiri APMC,Gur(Jaggery),Black,Local,05/09/2026,1490.42,1490.42,1490.42
Andhra Pradesh,Palnadu,Narasaraopet APMC,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,05/09/2026,6500,6500,6500
Andhra Pradesh,Palnadu,Narasaraopet APMC,Black Gram(Urd Beans)(Whole),Black Gram (Whole),FAQ,05/09/2026,8500,8500,8500
Andhra Pradesh,Palnadu,Narasaraopet APMC,Green Gram(Moong)(Whole),Local (Whole),FAQ,05/09/2026,7500,7500,7500
Andhra Pradesh,Sri Sathya Sai,Penukonda APMC,Groundnut,Local,FAQ,05/09/2026,7400,7600,7500
Andhra Pradesh,Vijayanagaram,Bobbili APMC,Maize,Local,FAQ,05/09/2026,4800,4800,4800
Andhra Pradesh,Dr.B.R.A.Konaseema,Alamuru APMC,Paddy(Common),Paddy,FAQ,05/09/2026,2369,2389,2369
Andhra Pradesh,SPSR Nellore,Gudur APMC,Paddy(Common),MTU-1010,Local,05/09/2026,2389,2475,2435
